wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q80901264,Aleksander Chervyakov,Aleksander Chervyakov,male,1966-09-15T00:00:00Z,11,http://www.government.by/en/departments/,Q81117853,Minister of Economy,Q80901264-B69E8EFD-1A6D-4D34-97D5-73FD87C5C98B
Q96654310,Aleksander Subbotin,Aleksander Subbotin,male,1976-05-23T00:00:00Z,11,,Q18690228,Deputy Prime Minister of the Republic of Belarus,Q96654310-0E7E57F7-AFC8-4548-9660-C9997724A8E3
Q60626586,Aleksey Avramenko,Aleksey Avramenko,male,1977-05-11T00:00:00Z,11,http://www.government.by/en/departments/,Q60676745,Minister of Transport and Communications,Q60626586-f46f7130-4200-ca6f-36e2-e05695093129
Q102109268,Anatoly Markevich,Anatol Markevich,male,1971-01-01T00:00:00Z,9,http://www.government.by/en/departments/,Q13414824,Minister of Culture,Q102109268-4c76ed8c-48db-7e15-5c19-a2a8baae3aeb
Q42302151,Andrei Khudyk,Andrej Chudyk,male,1959-01-01T00:00:00Z,9,http://www.government.by/en/departments/,Q106193915,Minister of Natural Resources and Environmental Protection,Q42302151-09ffabbf-4c6b-00c2-d4dd-c20bd9e65829
Q96313371,Andrey Khmel,Andrey Khmel,male,1983-01-01T00:00:00Z,9,http://www.government.by/en/departments/,Q106510808,Minister of Housing and Communal Services,Q96313371-6868DE7F-B17C-4934-B14E-1846E729EC7F
Q28016609,Igor Karpenko,Ihar Karpienka,male,1964-04-28T00:00:00Z,11,http://www.government.by/en/departments/,Q106457598,Minister of Education,Q28016609-806a3886-4854-1f92-fd49-739d4a90c95a
Q4360605,Igor Petrishenko,Ihar Pietryšenka,male,1965-10-19T00:00:00Z,11,http://www.government.by/en/departments/,Q18690228,Deputy Prime Minister of the Republic of Belarus,Q4360605-3294833A-48C8-4FA4-BB70-EA9E7E49787C
Q28971534,Irina Kostevich,Irina Kostevich,female,1967-01-26T00:00:00Z,11,http://www.government.by/en/departments/,Q106510812,Minister of Labour and Social Protection,Q28971534-637B8E05-57A8-4BC9-B567-87DEEDABDBC0
Q87965835,Ivan Krupko,Ivan Krupko,male,1974-07-23T00:00:00Z,11,http://www.government.by/en/departments/,Q90315932,Minister of Agriculture and Food,Q87965835-2b35145d-4ed6-8dac-24dd-11d197fb633b
