@@,itemlabel,item,startdate,enddate
->,Валерый Іосіфавіч Варанецкі,Q13028926,2016-10-11->2016-09-11,2019-12-06
->,Уладзімір Аляксандравіч Базанаў,Q14394031,2016-10-11->2016-09-11,2019-12-06
->,Мікалай Фёдаравіч Рассоха,Q14422105,2016-10-11->2016-09-11,2019-12-06
->,Наталля Анатольеўна Клімовіч,Q14918190,2016-10-11->2016-09-11,2019-12-06
->,Уладзімір Паўлавіч Андрэйчанка,Q2029677,2008-10-27->2016-09-11,NULL->2019-12-06
->,Мікалай Дзмітрыевіч Улаховіч,Q20972322,2016-10-11->2016-09-11,2019-12-06
->,Ірына Дарафеева->Ірына Аркадзьеўна Дарафеева,Q256650,2016-10-11->2016-09-11,2019-12-06
->,Алена Мікалаеўна Анісім,Q26897630,2016-10-11->2016-09-11,2019-12-06
->,Валерый Анатольевіч Барадзеня,Q26897633,2016-10-11->2016-09-11,2019-12-06
->,Валерый Уладзіміравіч Гайдукевіч,Q26897636,2016-10-11->2016-09-11,2019-12-06
->,Людміла Анатольеўна Дабрыніна,Q26897640,2016-10-11->2016-09-11,2019-12-06
->,Юрый Іванавіч Дарагакупец,Q26897641,2016-10-11->2016-09-11,2019-12-06
->,Таццяна Пятроўна Кананчук,Q26897648,2016-10-11->2016-09-11,2019-12-06
->,Тамара Пятроўна Красоўская,Q26897653,2016-10-11->2016-09-11,2019-12-06
->,Людміла Пятроўна Кубракова,Q26897656,2016-10-11->2016-09-11,2019-12-06
->,Алег Фёдаравіч Леўшуноў,Q26897671,2016-10-11->2016-09-11,2019-12-06
->,Валянцін Станіслававіч Мілашэўскі,Q26897688,2016-10-11->2016-09-11,2019-12-06
->,Андрэй Мікалаевіч Наумовіч,Q26897709,2016-10-11->2016-09-11,2019-12-06
->,Ала Аляксандраўна Навумчык,Q26897710,2016-10-11->2016-09-11,2019-12-06
->,Аксана Уладзіміраўна Няхайчык,Q26897711,2016-10-11->2016-09-11,2019-12-06
