position,person,personID,start,end
President,Alexander Lukashenko,Q2866,1994-07-20,
Prime Minister,Sergey Ling,Q631311,1996-11-18,2000-02-18
Prime Minister,Vladimir Yermoshin,Q712434,2000-02-18,2001-10-01
Prime Minister,Gennady Novitsky,Q185483,2001-10-10,2003-07-10
Prime Minister,Sergei Sidorsky,Q212953,2003-07-10,2010-12-28
Prime Minister,Mikhail Myasnikovich,Q45076,2010-12-28,2014-12-27
Prime Minister,Andrei Kobyakov,Q502864,2014-12-27,2018-08-18
Prime Minister,Sergei Rumas,Q3813861,2018-08-18,2020-06-03
Prime Minister,Roman Golovchenko,Q27043179,2020-06-04,
First Deputy Prime Minister,Uladzimir Siamashka,Q4415085,2003-12-23,2014-12-27
First Deputy Prime Minister,Vasily Matyushevsky,Q18690184,2014-12-27,2018-08-18
First Deputy Prime Minister,Aleksandr Turchin,Q56235580,2018-08-18,2019-12-03
First Deputy Prime Minister,Dzmitry Kruty,Q56162351,2019-11-29,2020-06-03
First Deputy Prime Minister,Mikalai Snapkou,Q13031552,2020-06-04,
Deputy Prime Minister,Anatol Kalinin,Q13028435,2010-12-28,2018-08-18
Deputy Prime Minister,Anatol Tozik,Q13132826,2010-12-29,2014-12-27
Deputy Prime Minister,Michaił Rusy,Q3917695,2012-04-10,2015-10-16
Deputy Prime Minister,Pyotr Prokopovych,Q2384660,2013-01-18,2014-12-27
Deputy Prime Minister,Natallya Kachanava,Q4236620,2014-12-27,2016-12-05
Deputy Prime Minister,Uladzimir Siamashka,Q4415085,2014-12-27,2018-08-18
Deputy Prime Minister,Vasily Zharko,Q13028989,2016-12,2018
Deputy Prime Minister,Ihar Pietryšenka,Q4360605,2018-08-18,
Deputy Prime Minister,Ihar Liašenka,Q56245145,2018-08-18,2020-03-03
Deputy Prime Minister,Uladzimir Dvornik,Q22670910,2019,2020-06-03
Deputy Prime Minister,Jury Nazaraŭ,Q87058344,2020-03-03,
Deputy Prime Minister,Aleksander Subbotin,Q96654310,2020-06-04,2021-12-13
Deputy Prime Minister,Anatol Sivak,Q3925052,2020-09-03,
Deputy Prime Minister,Lieanid Zajac,Q13031225,2022-03-21,
First Vice-President of the Council of Ministers,Sergei Sidorsky,Q212953,2002-07-03,2003-07-10
Minister of Agriculture and Food,Lieanid Zajac,Q13031225,2012-08-21,2019-03-27
Minister of Agriculture and Food,Ivan Krupko,Q87965835,2020-03-16,2021-12-21
Minister of Agriculture and Food,Igor Brylo,Q106400321,2022-02-10,
Minister of Antimonopoly Regulation and Trade,Vladimir Koltovich,Q21780643,2015-12-17,2021-12-21
Minister of Antimonopoly Regulation and Trade,Alexei Bogdanov,Q110223669,2021-12-21,
Minister of Architecture and Construction,Джэймз Гардэн,Q13133268,2010-12-29,2013-09-10
Minister of Architecture and Construction,Ruslan Parkhamovich,Q96059302,2020-06-04,
Minister of Communications and Informatization,Uladzimir Hančarenka,Q21156275,2005-08-17,2006-05-05
Minister of Communications and Informatization,Mikalaj Piatrovič Pancialiej,Q3918878,2006-05-05,2014-02-21
Minister of Communications and Informatization,Siarhiej Piatrovič Papkoŭ,Q20189769,2014-02-21,2018-08-17
Minister of Communications and Informatization,Kanstancin Kanstancinavič Šulhan,Q56193126,2018-08-18,
Minister of Communications,Uladzimir Hančarenka,Q21156275,2001-02-26,2005-08-17
Minister of Culture,Aliaksandr Sasnouski,Q21029209,1996-01-31,2000-11-27
Minister of Culture,Lieanid Huliaka,Q15065661,2000-12-21,2005-12-22
Minister of Culture,Uladzimir Matviajchuk,Q13414830,2005-05-05,2009-06-04
Minister of Culture,Pavel Latushko,Q2576047,2009-06-04,2012-11-16
Minister of Culture,Barys Sviatlou,Q12324377,2012-12-10,2017-09-28
Minister of Culture,Ioury Bondar,Q41348578,2017-09-28,2020-11-19
Minister of Culture,Anatol Markevich,Q102109268,2020-11-19,
Minister of Defence,Aleksandr Petrovich Chumakov,Q19772422,1996-11-01,2001-03-28
Minister of Defence,Leonid Maltsev,Q1354620,2001-09-24,2009-12-04
Minister of Defence,Juryi Žadobin,Q2026243,2009-12-04,2014-11-27
Minister of Defence,Andrei Ravkov,Q18613590,2014-11-27,2020-01-20
Minister of Defence,Viktor Khrenin,Q83283317,2020-01-20,
Minister of Economy,Mikalai Snapkou,Q13031552,2009-12-04,2014-12-27
Minister of Economy,Aleksander Chervyakov,Q80901264,2020-01-04,
Minister of Education,Vasiĺ Stražaŭ,Q2059825,1994,2001
Minister of Education,Piotr Bryhadzin,Q4096423,2001,2003
Minister of Education,Alexander Radkov,Q2564269,2003-08-06,2010-12-28
Minister of Education,Sergey Maskevich,Q3545332,2010-12-29,2014-12-27
Minister of Education,Michail Žuraŭkoŭ,Q18693073,2014-12-27,2016-12-15
Minister of Education,Ihar Karpienka,Q28016609,2016-12-15,2021-12-13
Minister of Education,Andrei Ivanets,Q89419452,2022-02-10,
Minister of Emergency Situations,Uladzimir Vashchanka,Q13033102,2010-12-29,2021-01-27
Minister of Emergency Situations,Vadim Sinyavsky,Q105882952,2021-03-11,
Minister of Energy,Alyaksandr Ahyeyew,Q6656652,2004-08-06,2006-05-05
Minister of Energy,Alyaksandr Azyarets,Q648373,2006-05,2013-04-18
Minister of Energy,Uladzimir Patupchyk,Q11773872,2013-04-22,2018-05-02
Minister of Energy,Viktor Karankevich,Q56418116,2018-08-31,
Minister of Finance,Mikalay Korbut,Q13031573,1997,2008
Minister of Finance,Andreï Kharkovets,Q14916950,2008,2014
Minister of Finance,Vladimir Amarin,Q9258069,2014,2018
Minister of Finance,Максім Леанідавіч Ермаловіч,Q56417635,2018,2020
Minister of Finance,Yury Sieliviorstau,Q96096369,2020-06-04,
Minister of Foreign Affairs,Vladimir Makei,Q2026222,2012-08-20,
Minister of Forestry,Mikhail Amelyanovich,Q13133778,2010-03-12,2018-02-15
Minister of Forestry,Vitaly Drozhzha,Q51543499,2018-04-05,2022-05-05
Minister of Forestry,Aleksandr Kulik,Q113375966,2022-08-01,
minister of Health,Vasily Zharko,Q13028989,2006,2016
minister of Health,Vladimir Karanik,Q64567624,2019-06-11,2020-08-22
minister of Health,Dmitry Pinevich,Q98605721,2020-11-27,
Minister of Housing and Communal Services,Andrey Khmel,Q96313371,2020-06-04,
Minister of Industry,Piotr Parkhomchyk,Q90845282,2020-06-04,
Minister of Information,Igor Lutsky,Q96062421,2020-06-04,2021-04-05
Minister of Information,Vladimir Pertsov,Q106373017,2021-04-05,
Minister of Internal Affairs,Yuri Sivakov,Q2026197,1999-02-08,2000-04-21
Minister of Internal Affairs,Uladzimir Navumau,Q2468480,2000-09-25,2009-04-04
Minister of Internal Affairs,Anatol Kulyashow,Q2080709,2009-06-02,2012-05-11
Minister of Internal Affairs,Ihar Shunevich,Q13028032,2012-05-11,2019-06-10
Minister of Internal Affairs,Yury Karayeu,Q6549746,2019-06-11,2020-10-29
Minister of Internal Affairs,Ivan Kubrakou,Q98831330,2020-10-29,
Minister of Justice,Oleg Slizhevsky,Q17116258,2011-12-13,2021-10-18
Minister of Justice,Siarhei Khamenka,Q98833684,2021-10-18,
Minister of Labour and Social Protection,Irina Kostevich,Q28971534,2017-03-14,
Minister of Natural Resources and Environmental Protection,Andrej Chudyk,Q42302151,2017-09-14,
Minister of Sports and Tourism,Jauhien Vorsin,Q19855178,1999,2003-01-23
Minister of Sports and Tourism,Yuri Sivakov,Q2026197,2003-01-23,2005-07-06
Minister of Sports and Tourism,Alyaksandr Hryharaw,Q21091429,2005-07-06,2009-06-26
Minister of Sports and Tourism,Алег Леанідавіч Качан,Q13028257,2009-06-26,2012-10-28
Minister of Sports and Tourism,Аляксандр Ігаравіч Шамко,Q18752179,2012-10-31,2018-02-15
Minister of Sports and Tourism,Sergey Kovalchuk,Q51543441,2018-03-05,
Minister of Taxes and Duties,Sergey Nalivaiko,Q21843506,2014-12-27,
Minister of Transport and Communications,Anatol Sivak,Q3925052,2012-07-31,2018-11-24
Minister of Transport and Communications,Aliaksei Auramenka,Q60626586,2019-01-15,
Prosecutor General,Oleg Bozhelko,Q13028251,1996-12-12,2000-11-27
Prosecutor General,Viktor Sheiman,Q2635847,2000-11-28,2004-11-29
